,ForecastCurrent
478,260.458344
479,328.041656
480,330.5
481,311.791656
482,337.375
483,335.333344
484,351.75
485,346.041656
486,337.916656
487,339.625
488,336.458344
489,343.583344
490,333.875
491,323.166656
492,329.125
493,341.208344
494,331.458344
495,333.791656
496,342.125
497,346.125
498,339.791656
499,330.666656
500,296.916656
501,344.625
502,341.958344
503,357.958344
504,342.666656
505,314.083344
506,310.083344
507,271.291656
508,318.458344
509,306.291656
510,306.708344
511,255.583328
512,197.791672
513,161.916672
514,100.375
515,69.416664
516,57.0
517,63.083332
518,56.791668
519,30.208334
520,25.541666
521,32.416668
522,39.583332
523,31.541666
524,20.458334
525,6.875
526,7.416667
527,18.041666
528,41.666668
529,54.291668
530,69.625
531,65.458336
532,96.166664
533,110.916664
534,108.416664
535,117.916664
536,124.0
537,109.666664
538,135.708328
539,174.208328
540,223.208328
541,172.791672
542,149.166672
543,153.541672
544,152.5
545,165.708328
546,127.25
547,167.416672
548,143.708328
549,148.875
550,181.125
551,127.541664
552,93.541664
553,118.416664
554,136.75
555,171.333328
556,175.541672
557,185.791672
558,194.958328
559,196.916672
560,149.875
561,161.125
562,172.875
563,180.541672
564,212.75
565,218.833328
566,232.875
567,227.041672
568,257.833344
569,292.5
570,301.083344
571,309.083344
572,292.208344
573,305.916656
574,291.666656
575,297.458344
576,272.833344
577,287.666656
578,246.333328
579,214.083328
580,226.833328
581,208.458328
582,194.416672
583,209.333328
584,196.708328
585,171.625
586,151.541672
587,125.916664
588,156.583328
589,98.166664
590,88.166664
591,92.625
592,67.208336
593,67.958336
594,70.625
595,109.333336
596,101.208336
597,111.5
598,148.083328
599,140.958328
600,108.833336
601,100.25
602,101.958336
603,115.541664
604,145.333328
605,156.916672
606,132.5
607,142.25
608,165.166672
609,121.75
610,115.791664
611,122.708336
612,161.5
613,110.0
614,181.583328
615,171.291672
616,123.708336
617,99.958336
618,99.833336
619,124.541664
620,172.458328
621,158.375
622,155.333328
623,131.333328
624,162.791672
625,127.708336
626,160.083328
627,147.291672
628,205.333328
629,231.583328
630,232.791672
631,296.125
632,306.083344
633,331.041656
634,328.583344
635,291.333344
636,214.208328
637,152.75
638,259.208344
639,230.208328
640,215.0
641,251.458328
642,179.791672
643,98.333336
644,191.541672
645,203.75
646,132.875
647,125.291664
648,169.083328
649,122.291664
650,184.583328
651,145.541672
652,171.5
653,188.041672
654,208.625
655,278.125
656,279.0
657,214.458328
658,240.375
659,215.041672
660,193.666672
661,183.666672
662,170.666672
663,57.791668
664,103.75
665,215.666672
666,111.375
667,197.666672
668,214.291672
669,225.625
670,306.291656
671,336.958344
672,325.791656
673,331.0
674,334.541656
