,offshore_DK2,offshore_DK1,onshore_DK2,onshore_DK1,solar_DK2,realized
1886,0.7324324324324324,0.4067357512953368,0.4535809018567639,0.3123123123123123,88.0,0.7945945945945946
1887,0.7162162162162162,0.3998272884283247,0.4244031830238727,0.3054054054054054,62.0,0.7189189189189189
1888,0.6864864864864865,0.39723661485319517,0.3806366047745358,0.2828828828828829,36.0,0.6837837837837838
1889,0.654054054054054,0.3946459412780656,0.33687002652519893,0.24834834834834835,12.0,0.6648648648648648
1890,0.6162162162162163,0.37823834196891193,0.3129973474801061,0.2195195195195195,1.0,0.7351351351351352
1891,0.572972972972973,0.36701208981001726,0.3103448275862069,0.212012012012012,0.0,0.5108108108108108
1892,0.5243243243243243,0.3704663212435233,0.3103448275862069,0.2072072072072072,0.0,0.31351351351351353
1893,0.4783783783783784,0.38082901554404147,0.29310344827586204,0.1981981981981982,0.0,0.3864864864864865
1894,0.4297297297297297,0.39896373056994816,0.2625994694960212,0.2105105105105105,0.0,0.43783783783783786
1895,0.3945945945945946,0.4283246977547496,0.23607427055702918,0.23603603603603604,0.0,0.3945945945945946
1896,0.32972972972972975,0.48791018998272884,0.22281167108753316,0.3159159159159159,0.0,0.26756756756756755
1897,0.2864864864864865,0.5509499136442142,0.2493368700265252,0.3972972972972973,0.0,0.34054054054054056
1898,0.327027027027027,0.5587219343696027,0.28514588859416445,0.46426426426426426,0.0,0.4243243243243243
1899,0.45135135135135135,0.5086355785837651,0.27453580901856767,0.5084084084084084,0.0,0.4918918918918919
1900,0.5027027027027027,0.5535405872193437,0.3249336870026525,0.5621621621621622,0.0,0.3810810810810811
1901,0.5027027027027027,0.5993091537132987,0.3726790450928382,0.5711711711711712,0.0,0.5378378378378378
1902,0.5594594594594594,0.6252158894645942,0.45755968169761274,0.5618618618618618,1.0,0.6270270270270271
1903,0.6162162162162163,0.6174438687392055,0.4907161803713528,0.5519519519519519,17.0,0.6891891891891891
1904,0.6459459459459459,0.5975820379965457,0.5106100795755968,0.5636636636636637,34.0,0.7324324324324324
1905,0.6621621621621622,0.5785837651122625,0.5305039787798409,0.5912912912912913,52.0,0.5567567567567567
