Power sold,Power bought,hydrogen produced
0.0,0.0,1.102098537811277
0.0,8.669635020640651,1.4215375561871308
0.0,8.736390115632469,1.1003764532514413
0.0,9.20269269035157,0.9021358109863242
0.0,9.22608130244824,0.8770335059460557
0.0,9.224809092068835,0.8767982760862695
0.0,9.225921013762804,0.8770038687998644
0.0,9.299390217511139,0.9003971602181262
0.0,8.38291465993953,1.5107530331091703
0.0,8.369492128256585,1.508271226407333
0.0,8.873758115028103,1.5083243305535692
0.0,9.17401173620206,1.5197005525985683
0.0,9.554664864473008,1.5214201725959262
0.0,9.4561074864169,1.498292584954322
0.0,9.973041328497121,1.495783486298309
0.0,9.420224662629986,1.496562373649225
0.0,9.628961974569638,1.5204441880329869
0.0,1.6534562436599405,1.5220304604137302
0.0,0.0,1.5279339777429601
0.0,0.0,1.5133499140751419
0.0,8.49704383562114,1.5269508817507706
0.0,9.266769896157307,0.9434104192983888
0.0,8.538998014483306,1.5248992068976952
0.0,0.0,0.9468630308619226
0.0,9.228352756576236,0.8774534945302463
0.0,9.252466955115398,0.8819121749757525
0.0,9.305907416386452,0.8819842971331758
0.0,10.122191770225365,0.8759710240961921
0.0,9.766144238606163,0.8640875305440855
0.0,9.068494189501454,0.8478958766021469
0.0,8.350906944735243,1.4655990853759373
0.0,0.0,1.4867816121023358
0.0,0.0,1.4541393851825384
0.0,0.0,1.4361368561713486
0.0,0.0,1.4481858699202854
0.0,0.0,1.4895767034495098
0.0,0.0,1.5101764103039783
0.0,0.0,1.5009741300649633
0.0,0.0,1.4629355627357836
0.0,0.0,1.362499336397503
0.0,0.0,1.2368300173499869
0.0,0.0,1.1560546906092073
0.0,0.0,1.065540827784755
0.0,0.0,0.9245291355505582
0.0,0.0,0.7829092034124826
0.0,0.0,0.709321260561782
0.0,0.009557933929472573,0.7129155335369801
0.0,0.0,0.7676128680645641
0.0,0.0,0.7470348743885962
0.0,0.0,0.8273298363812364
0.0,0.0,0.8528327502449351
0.0,0.0,0.8493958361582141
0.0,0.0,0.8470627753764226
0.0,0.0,0.7950726430052488
0.0,0.0,0.6817281490835725
0.0,0.0,0.632370119679939
0.0,0.0,0.6236269782976491
0.0,0.0,0.6105482825396433
0.0,0.027696664192797704,0.5642307595959678
0.0,0.0,0.47611571581703144
0.0,0.0,0.4013597547593029
0.0,0.0,0.3278557158760553
0.0,0.0,0.25548719189784225
0.0,0.0,0.19238919544322947
0.0,0.0,0.13862868394375832
0.0,0.0,0.0937540028868028
0.0,0.0,0.06582771427156629
