Forward price,Forward bid,Power sold,Power bought,hydrogen produced,Objective values,lambda_DW,lambda_UP,E_real,E_forecast
28.32,0.0,0.0,2.9708222811671092,10.0,267.8663129973474,28.32,28.32,7.029177718832891,E_forecast[1]
10.07,0.0,0.0,0.9814323607427049,10.0,342.1169761273209,10.07,10.07,9.018567639257295,E_forecast[2]
0.0,0.0,0.0,2.7851458885941653,10.0,351.99999999999994,0.0,0.0,7.214854111405835,E_forecast[3]
0.0,0.0,0.0,4.323607427055704,10.0,351.99999999999994,0.0,0.0,5.676392572944296,E_forecast[4]
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994,0.0,0.0,5.517241379310345,E_forecast[5]
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994,0.0,0.0,5.517241379310345,E_forecast[6]
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994,0.0,0.0,5.517241379310345,E_forecast[7]
0.0,0.0,0.0,4.429708222811671,10.0,351.99999999999994,0.0,0.0,5.570291777188329,E_forecast[8]
0.0,0.0,0.0,0.21220159151193663,10.0,351.99999999999994,0.0,0.0,9.787798408488063,E_forecast[9]
0.0,0.0,0.0,0.21220159151193663,10.0,351.99999999999994,0.0,0.0,9.787798408488063,E_forecast[10]
0.0,0.0,0.0,0.7161803713527846,10.0,351.99999999999994,0.0,0.0,9.283819628647215,E_forecast[11]
0.45,0.0,0.0,0.9549071618037139,10.0,351.5702917771883,0.45,0.45,9.045092838196286,E_forecast[12]
0.12,0.0,0.0,1.3262599469496017,10.0,351.840848806366,0.12,0.12,8.673740053050398,E_forecast[13]
0.0,0.0,0.0,1.3527851458885944,10.0,351.99999999999994,0.0,0.0,8.647214854111406,E_forecast[14]
0.0,0.0,0.0,1.8832891246684351,10.0,351.99999999999994,0.0,0.0,8.116710875331565,E_forecast[15]
0.0,0.0,0.0,1.3262599469496017,10.0,351.99999999999994,0.0,0.0,8.673740053050398,E_forecast[16]
1.97,0.0,0.0,1.4058355437665782,10.0,349.2305039787798,1.97,1.97,8.594164456233422,E_forecast[17]
54.28,9.970917148852285,0.0,3.3926678119822586,0.0,357.06737400530506,54.28,9.06,6.5782493368700266,E_forecast[18]
54.28,10.009591461691311,0.0,0.3544190478982081,0.0,524.0827586206897,54.28,0.07,9.655172413793103,E_forecast[19]
51.0,9.914050344540557,0.0,0.15277713499148504,0.0,497.8249336870027,51.0,0.0,9.761273209549072,E_forecast[20]
