Forward price,Forward bid,Power sold,Power bought,hydrogen produced,Objective values
28.32,0.0,0.0,2.9708222811671092,10.0,267.8663129973474
10.07,0.0,0.0,0.9814323607427049,10.0,342.1169761273209
0.0,0.0,0.0,2.7851458885941653,10.0,351.99999999999994
0.0,0.0,0.0,4.323607427055704,10.0,351.99999999999994
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994
0.0,0.0,0.0,4.429708222811671,10.0,351.99999999999994
0.0,0.0,0.0,0.21220159151193663,10.0,351.99999999999994
0.0,0.0,0.0,0.21220159151193663,10.0,351.99999999999994
0.0,0.0,0.0,0.7161803713527846,10.0,351.99999999999994
0.45,0.0,0.0,0.9549071618037139,10.0,351.5702917771883
0.12,0.0,0.0,1.3262599469496017,10.0,351.840848806366
0.0,0.0,0.0,1.3527851458885944,10.0,351.99999999999994
0.0,0.0,0.0,1.8832891246684351,10.0,351.99999999999994
0.0,0.0,0.0,1.3262599469496017,10.0,351.99999999999994
1.97,0.0,0.0,1.4058355437665782,10.0,349.2305039787798
54.28,9.970917148852285,0.0,3.3926678119822586,0.0,357.06737400530506
54.28,10.009591461691311,0.0,0.3544190478982081,0.0,524.0827586206897
51.0,9.914050344540557,0.0,0.15277713499148504,0.0,497.8249336870027
0.0,0.0,0.0,0.2387267904509276,10.0,351.99999999999994
0.0,0.0,0.0,4.164456233421751,10.0,351.99999999999994
0.0,0.0,0.0,0.2917771883289113,10.0,351.99999999999994
43.0,6.202959190099943,0.0,0.6326674129116139,0.0,239.52254641909815
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994
0.0,0.0,0.0,4.535809018567639,10.0,351.99999999999994
0.0,0.0,0.0,5.384615384615384,10.0,351.99999999999994
0.0,0.0,0.0,5.092838196286472,10.0,351.99999999999994
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994
0.0,0.0,0.0,0.42440318302387325,10.0,351.99999999999994
37.43,9.73999972949273,0.0,0.1644029125166,0.0,358.41458885941654
45.44,9.526158450598178,0.04943836637795229,0.0,0.0,435.1151193633953
44.94,9.408222752260322,0.1143236668378247,0.0,0.0,427.9432360742707
44.99,9.48715659815942,0.0,0.07071097481724031,0.0,423.42527035273486
45.44,9.758310548475006,0.0,0.23576412937685906,0.0,431.94534878722624
44.44,9.893260521999661,0.0,0.3176637050235307,0.0,423.79237216878977
44.44,9.832975806134776,0.0,0.28390418809764384,0.0,423.56013289513476
45.0,9.58378276226022,0.0,0.06123634316207393,0.0,428.1514573444655
48.2,8.925818734858199,0.0,0.03987709029586206,0.0,428.13570103046794
47.82,8.102551132161956,0.0,0.5163442356102319,0.0,358.54355450345565
48.43,7.573386892975275,0.0,0.04023039430153208,0.0,364.48800627132033
49.0,6.980424892201737,1.2954371767637844,0.0,0.0,405.5172413793105
49.0,6.056648439065287,2.1396380330832505,0.0,0.0,401.61803713527837
48.93,5.128887368113401,0.2557280165019833,0.0,0.0,263.46923076923076
48.93,4.646808132248856,0.0,0.5354022967050893,0.0,199.14726685161128
48.43,4.6703544402749895,0.0,0.8242005941211432,0.0,183.25265659474738
46.1,5.028680114446679,0.0,0.6254970905740009,0.0,200.07192095845562
51.98,4.893872385318243,0.8620957844430297,0.0,0.0,291.3760166992927
51.98,5.419889724866907,1.5562375960880033,0.0,0.0,352.09893199368133
51.98,5.586960915492182,0.19553245320808355,0.0,0.0,299.8564012017661
48.4,5.564445475428582,0.6159258773565606,0.0,0.0,299.12997347480086
48.79,5.549161447701467,0.0,0.40327285353701114,0.0,251.0679045092838
45.92,5.20857082490281,0.0,0.22183342437230638,0.0,228.9909814323607
51.07,4.466043925760187,0.0,0.08938610082650023,0.0,223.51591511936337
51.0,4.142696374831104,1.2949694076622649,0.0,0.0,277.3209549071618
51.0,4.08541950645633,0.23818792059937266,0.0,0.0,220.50397877984085
50.47,3.9997401490388222,0.0,0.5779894859088488,0.0,167.17017648288115
49.5,3.696311146911022,0.0,0.6724384678659296,0.0,143.83820732697717
51.0,3.1190639603807075,0.0,0.4134936686035191,0.0,133.65480617035777
62.0,2.6293329638756684,0.0,0.34816585512235276,0.0,141.43236074270555
52.99,2.1478033881721337,0.1864141184591679,0.0,0.0,123.69018567639267
50.97,1.6737126419361177,0.15652608485433328,0.0,0.0,93.28726790450929
50.47,1.2603537038130923,0.7290362166113125,0.0,0.0,100.4045092838197
50.6,0.9081652161428544,1.3199514947324755,0.0,0.0,112.74270557029169
51.48,0.6141883618435997,0.7651219829839866,0.0,0.0,71.00689655172414
65.67,0.43124149100254605,1.3194216389709288,0.0,0.0,114.9660477453581
61.51,0.36191712420081235,0.5134144407859251,0.0,0.0,53.841644562334224
57.6,0.43399704061072075,0.3352337286200485,0.0,0.0,44.30769230769231
54.44,0.5901909253400534,0.25861544070769016,0.0,0.0,46.209018567639156
48.0,0.8839253062439106,0.0,0.6717237147319743,0.0,7.438326399319166
45.42,1.4015360418720504,0.0,0.31400288537337673,0.0,47.96390281086717
46.78,2.7082811170951193,0.0,0.2149124168298675,0.0,115.9757084304042
47.97,3.6564918281393535,0.7732163946723176,0.0,0.0,212.49310344827586
47.07,5.114490758665075,1.171981389876043,0.0,0.0,295.9042440318304
48.29,7.326218956648204,1.5597226879141326,0.0,0.0,426.99649638723116
48.43,8.787782993548285,0.0,0.5384461235217604,0.0,399.5153846153846
46.91,9.131708236585643,0.0,0.4844933824742377,0.0,405.640848806366
52.5,9.268106572078377,0.0,0.010812142370157929,0.0,486.0079575596815
53.99,9.296058762267347,0.0,0.3040163219490477,0.0,485.48037135278497
54.44,8.926173399151681,0.0,0.6768365291251559,0.0,449.093899204244
48.79,8.855349979335543,0.0,0.02245873265118981,0.0,430.83571135673964
48.79,8.582246091687207,0.2771703539361319,0.0,0.0,432.25092838196264
48.29,7.985782173741415,0.6349074814309974,0.0,0.0,416.2931034482758
46.78,7.3586855594495395,0.598874122248076,0.0,0.0,372.25464190981444
45.78,6.950333241606325,0.0,2.122747034709773,0.0,208.65250880971325
45.0,6.434385695815517,0.0,3.4900886135874005,0.0,110.12190068717001
45.0,6.523381138302426,0.0,2.252824109124707,0.0,177.10367302295305
46.78,7.1058058044442145,0.0,1.2702620378659653,0.0,265.60651496052924
46.78,7.739609070476849,0.6954041921226182,0.0,0.0,394.5899204244031
46.28,8.237688672973327,0.5686773747720295,0.0,0.0,407.55862068965513
46.28,8.29494577847996,0.11354228518051811,0.0,0.0,389.14482758620693
44.5,8.184753992759886,0.17068367302261223,0.0,0.0,371.81697612732114
44.27,8.176368897518271,0.36474516083717035,0.0,0.0,378.1151193633954
43.96,8.033074666048643,0.9854929732086556,0.0,0.0,396.4562334217508
31.41,0.0,0.0,1.591511936339522,10.0,302.01061007957554
26.9,0.0,0.0,1.4058355437665782,10.0,314.183023872679
25.12,0.0,0.0,1.8302387267904514,10.0,306.0244031830238
24.12,0.0,0.0,3.0769230769230766,10.0,277.78461538461534
22.04,0.0,0.0,2.7851458885941653,10.0,290.6153846153845
18.37,0.0,0.0,2.838196286472149,10.0,299.86233421750654
22.09,0.0,0.0,2.8912466843501328,10.0,288.1323607427055
23.35,0.0,0.0,3.023872679045093,10.0,281.392572944297
45.6,5.489910259075629,0.10690671705169308,0.0,0.0,255.21485411140588
45.6,4.638914323239171,0.0,0.6070840845123806,0.0,181.18635975493228
46.11,3.680334526636751,0.0,1.425692616822427,0.0,97.37483857181886
46.11,3.5364829971637866,0.0,1.175740291593495,0.0,103.18677794836552
46.11,3.1402724083196247,0.0,1.2569832836511898,0.0,80.6666736157342
51.36,2.552082465015908,0.0,0.8544697329204191,0.0,87.1893899204243
47.12,2.0768536485168996,0.07168746554145411,0.0,0.0,101.23925729442962
47.12,1.6281412975934735,0.4673494185868978,0.0,0.0,98.73952254641908
47.12,1.3165553596463746,0.6993597597170207,0.0,0.0,94.98992042440318
48.0,1.1184272997066298,0.5526602334498689,0.0,0.0,80.21220159151194
50.0,0.9487195911027702,0.16533876433489736,0.0,0.0,55.70291777188338
60.16,0.8061443630583228,0.0,0.0899639917055376,0.0,43.08541114058356
58.01,0.6920387049830119,0.0,0.18805992514216308,0.0,29.235809018567636
47.63,0.6322147863100628,0.0,0.2873872001031662,0.0,14.952715466506275
46.62,0.573280106802646,0.0,0.44065411210768574,0.0,3.856370160750462
45.1,0.4862077861880857,0.0,0.40663218937110956,0.0,1.1368673145378345
44.59,0.34533418998349635,0.0,0.34533418998349635,0.0,-1.9407781477072472
43.76,0.09100588389223455,0.0,0.06448068495324251,0.0,0.7396838328256181
43.25,0.03882422161188928,0.0,0.012299022672897241,0.0,1.0761265030620597
42.4,0.015962293575220554,0.0,0.015962293575220554,0.0,-0.10231830181716384
41.0,0.033647416114477774,0.0,0.033647416114477774,0.0,-0.2577392074368996
41.0,0.014577338019839514,0.0,0.014577338019839514,0.0,-0.0994174452953055
41.0,0.06091816038853606,0.0,0.06091816038853606,0.0,-0.4702881981994982
41.0,0.02435028834538286,0.0,0.02435028834538286,0.0,-0.20405541633430835
43.25,0.04070336874763722,0.0,0.04070336874763722,0.0,-0.26050155998487834
43.76,0.04773362707634843,0.0,0.04773362707634843,0.0,-0.3188606288700071
44.9,0.1278129407143984,0.0,0.1278129407143984,0.0,-1.086409996072386
48.0,0.23990195902325215,0.0,0.2133767600842601,0.0,0.3450206427050855
97.65,0.32726612278281636,0.0,0.30074092384382434,0.0,2.590185676392572
93.74,0.38540963383483073,0.0,0.38540963383483073,0.0,0.0
73.66,0.43747140074532714,0.0,0.3048454060503669,0.0,9.769230769230774
46.38,0.4619885882897137,0.0,0.4089381904117296,0.0,0.3585351548646116
47.0,0.48743232865900504,0.0,0.48743232865900504,0.0,-2.227565741971656
48.85,0.48556635163088113,0.0,0.4590411526918891,0.0,-0.7928812765783348
