Forward price,Forward bid,Power sold,Power bought,hydrogen produced
28.32,0.0,0.0,2.9708222811671092,10.0
10.07,0.0,0.0,0.9814323607427049,10.0
-4.08,0.0,0.0,2.7851458885941653,10.0
-9.91,0.0,0.0,4.323607427055704,10.0
-7.41,0.0,0.0,4.482758620689655,10.0
-12.55,0.0,0.0,4.482758620689655,10.0
-17.25,0.0,0.0,4.482758620689655,10.0
-15.07,0.0,0.0,4.429708222811671,10.0
-4.93,0.0,0.0,0.21220159151193663,10.0
-6.33,0.0,0.0,0.21220159151193663,10.0
-4.93,0.0,0.0,0.7161803713527846,10.0
0.45,0.0,0.0,0.9549071618037139,10.0
0.12,0.0,0.0,1.3262599469496017,10.0
-0.02,0.0,0.0,1.3527851458885944,10.0
0.0,0.0,0.0,1.8832891246684351,10.0
-0.03,0.0,0.0,1.3262599469496017,10.0
1.97,0.0,0.0,1.4058355437665782,10.0
54.28,9.713486939887172,0.0,3.1352376030171425,0.0
54.28,9.751162755167035,0.0,0.09599034137393225,0.0
51.0,9.65808832883175,0.10318488071731835,0.0,0.0
-6.98,0.0,0.0,0.2387267904509276,10.0
-16.01,0.0,0.0,4.164456233421751,10.0
-4.87,0.0,0.0,0.2917771883289113,10.0
43.0,6.04281052406742,0.0,0.472518746879091,0.0
-33.57,0.0,0.0,4.482758620689655,10.0
-45.92,0.0,0.0,4.482758620689655,10.0
-48.29,0.0,0.0,4.53580901856764,10.0
-33.6,0.0,0.0,5.384615384615384,10.0
-33.54,0.0,0.0,5.092838196286472,10.0
-17.79,0.0,0.0,4.482758620689655,10.0
-0.01,0.0,0.0,0.42440318302387325,10.0
37.43,9.488531371241244,0.08706544573488628,0.0,0.0
45.44,9.280211069433292,0.29538574754283786,0.0,0.0
44.94,9.165320247611238,0.35722617148690894,0.0,0.0
44.99,9.24221617100623,0.17422945233594866,0.0,0.0
45.44,9.506369439534033,0.016176979564113125,0.0,0.0
44.44,9.637835260160248,0.0,0.062238443184117635,0.0
44.44,9.579106981558938,0.0,0.030035363521806246,0.0
45.0,9.336347630432964,0.18619878866518214,0.0,0.0
48.2,8.695370988898965,0.19057065566337172,0.0,0.0
47.82,7.893358597517031,0.0,0.30715170096530287,0.0
48.43,7.377856377444245,0.155300121229498,0.0,0.0
49.0,6.8002035332396265,1.4756585357258947,0.0,0.0
49.0,5.900277239704126,2.296009232444412,0.0,0.0
48.93,4.996469203643552,0.38814618097183207,0.0,0.0
48.93,4.526836341224266,0.0,0.415430505680499,0.0
48.43,4.549774728142939,0.0,0.7036208819890928,0.0
46.1,4.8988491116056085,0.0,0.4956660877329302,0.0
51.98,4.767521862894528,0.9884463068667451,0.0,0.0
51.98,5.279958430321856,1.6961688906330545,0.0,0.0
51.98,5.442716159018539,0.33977720968172687,0.0,0.0
48.4,5.420782025002716,0.7595893277824262,0.0,0.0
48.79,5.405892601943644,0.0,0.2600040077791883,0.0
45.92,5.074095384394445,0.0,0.08735798386394134,0.0
51.07,4.350739124417197,0.025918700516489146,0.0,0.0
51.0,4.035739795257624,1.401925987235745,0.0,0.0
51.0,3.9799417072171432,0.34366571983855954,0.0,0.0
50.47,3.89647442864401,0.0,0.4747237655140366,0.0
49.5,3.6008793890552355,0.0,0.577006710010143,0.0
51.0,3.0385356323332937,0.0,0.33296534055610527,0.0
62.0,2.5614485632508686,0.0,0.28028145449755293,0.0
52.99,2.0923511698075696,0.24186633682373193,0.0,0.0
50.97,1.6305005493343088,0.1997381774561422,0.0,0.0
50.47,1.2278137566348222,0.7615761637895825,0.0,0.0
50.6,0.8847181091339055,1.3433986017414243,0.0,0.0
51.48,0.5983311808066939,0.7809791640208924,0.0,0.0
65.67,0.4201076519097209,1.330555478063754,0.0,0.0
61.51,0.3525731090495288,0.5227584559372087,0.0,0.0
57.6,0.4227920584424035,0.3464387107883658,0.0,0.0
54.44,0.5749533126940499,0.2738530533536936,0.0,0.0
48.0,0.8611040278300073,0.0,0.648902436318071,0.0
45.42,1.3653510339389745,0.0,0.27781787744030084,0.0
46.78,2.638358424578281,0.0,0.1449897243130276,0.0
47.97,3.5620881297287723,0.8676200930828988,0.0,0.0
47.07,4.982444287402916,1.304027861138202,0.0,0.0
48.29,7.137069849421773,1.7488717951405635,0.0,0.0
48.43,8.560899069171318,0.0,0.31156219914479344,0.0
46.91,8.895944813376046,0.0,0.2487299592646366,0.0
52.5,9.028821602005618,0.22847282770260158,0.0,0.0
53.99,9.056052119548635,0.0,0.0640096792303364,0.0
54.44,8.695716496431658,0.0,0.4463796264051325,0.0
48.79,8.626721603268656,0.20616964341569677,0.0,0.0
48.79,8.360668741099413,0.49874770452392525,0.0,0.0
48.29,7.779604392595901,0.8410852625765122,0.0,0.0
46.78,7.168698225987872,0.7888614557097435,0.0,0.0
45.78,6.770888792108533,0.0,1.9433025852119812,0.0
45.0,6.268262035423194,0.0,3.3239649531950777,0.0
45.0,6.354959784025546,0.0,2.0844027548478268,0.0
46.78,6.922347347634738,0.0,1.0868035810564889,0.0
46.78,7.539787012929167,0.8952262496703006,0.0,0.0
46.28,8.025007142797623,0.7813589049477336,0.0,0.0
46.28,8.080785978209812,0.3277020854506656,0.0,0.0
44.5,7.973439135838549,0.38199852994394856,0.0,0.0
44.27,7.965270527885718,0.575843530469724,0.0,0.0
43.96,7.825675882261606,1.1928917569956923,0.0,0.0
31.41,0.0,0.0,1.591511936339522,10.0
26.9,0.0,0.0,1.4058355437665782,10.0
25.12,0.0,0.0,1.8302387267904514,10.0
24.12,0.0,0.0,3.0769230769230766,10.0
