Forward price,Forward bid,Power sold,Power bought,hydrogen produced,Objective values,lambda_DW,lambda_UP,E_real,E_forecast
28.32,0.0,0.0,2.9708222811671092,10.0,267.8663129973474,28.32,28.32,7.029177718832891,6.961626065565076
10.07,0.0,0.0,0.9814323607427049,10.0,342.1169761273209,10.07,10.07,9.018567639257295,9.050609375204212
0.0,0.0,0.0,2.7851458885941653,10.0,351.99999999999994,0.0,0.0,7.214854111405835,6.950364429708646
0.0,0.0,0.0,4.323607427055704,10.0,351.99999999999994,0.0,0.0,5.676392572944296,5.653962396264145
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994,0.0,0.0,5.517241379310345,5.489804941332036
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994,0.0,0.0,5.517241379310345,5.488266646938569
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994,0.0,0.0,5.517241379310345,5.489611128115185
0.0,0.0,0.0,4.429708222811671,10.0,351.99999999999994,0.0,0.0,5.570291777188329,5.642592425073639
0.0,0.0,0.0,0.21220159151193663,10.0,351.99999999999994,0.0,0.0,9.787798408488063,9.634037295810806
0.0,0.0,0.0,0.21220159151193663,10.0,351.99999999999994,0.0,0.0,9.787798408488063,9.617807428826339
0.0,0.0,0.0,0.7161803713527846,10.0,351.99999999999994,0.0,0.0,9.283819628647215,9.618154705360446
0.45,0.0,0.0,0.9549071618037139,10.0,351.5702917771883,0.45,0.45,9.045092838196286,9.692549931402588
0.12,0.0,0.0,1.3262599469496017,10.0,351.840848806366,0.12,0.12,8.673740053050398,9.703795450161277
0.0,0.0,0.0,1.3527851458885944,10.0,351.99999999999994,0.0,0.0,8.647214854111406,9.552551732906041
0.0,0.0,0.0,1.8832891246684351,10.0,351.99999999999994,0.0,0.0,8.116710875331565,9.536143389174901
0.0,0.0,0.0,1.3262599469496017,10.0,351.99999999999994,0.0,0.0,8.673740053050398,9.541236951897531
1.97,0.0,0.0,1.4058355437665782,10.0,349.2305039787798,1.97,1.97,8.594164456233422,9.697412962909683
54.28,10.152481428837374,0.0,3.574232091967348,0.0,357.06737400530506,54.28,9.06,6.5782493368700266,9.707786449983248
54.28,10.19167557837082,0.0,0.5365031645777165,0.0,524.0827586206897,54.28,0.07,9.655172413793103,9.746392720537262
51.0,10.094850255377096,0.0,0.33357704582802405,0.0,497.82493368700267,51.0,0.0,9.761273209549072,9.651019695214035
0.0,0.0,0.0,0.2387267904509276,10.0,351.99999999999994,0.0,0.0,9.761273209549072,9.7399637278303
0.0,0.0,0.0,4.164456233421751,10.0,351.99999999999994,0.0,0.0,5.835543766578249,5.923879228322357
0.0,0.0,0.0,0.2917771883289113,10.0,351.99999999999994,0.0,0.0,9.708222811671089,9.726546724025718
43.0,6.33387686084498,0.0,0.7635850836566513,0.0,239.52254641909815,43.0,0.0,5.570291777188329,5.9464577097100095
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994,0.0,0.0,5.517241379310345,5.492551472257012
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994,0.0,0.0,5.517241379310345,5.5217091784164944
0.0,0.0,0.0,4.535809018567639,10.0,351.99999999999994,0.0,0.0,5.464190981432361,5.522180823940196
0.0,0.0,0.0,5.384615384615384,10.0,351.99999999999994,0.0,0.0,4.615384615384616,5.482856801864151
0.0,0.0,0.0,5.092838196286472,10.0,351.99999999999994,0.0,0.0,4.907161803713528,5.405144254985027
0.0,0.0,0.0,4.482758620689655,10.0,351.99999999999994,0.0,0.0,5.517241379310345,5.299258333433751
0.0,0.0,0.0,0.42440318302387325,10.0,351.99999999999994,0.0,0.0,9.575596816976127,9.338751379711297
37.43,9.918460157356046,0.0,0.3428633403799157,0.0,358.41458885941654,37.43,37.43,9.575596816976127,9.477275298963287
45.44,9.701744553479601,0.0,0.1261477365034711,0.0,434.7846122937562,48.06,45.44,9.575596816976127,9.263810245221235
44.94,9.582223634899227,0.0,0.059677215801080756,0.0,427.5971082226244,50.74,44.94,9.522546419098143,9.146082038983694
44.99,9.662218461757464,0.0,0.2457728384152844,0.0,422.879077338309,48.11,44.99,9.416445623342176,9.22487701132964
45.44,9.937017099279187,0.0,0.41447068018104005,0.0,431.3699136936368,48.66,45.44,9.522546419098143,9.495553902506618
44.44,10.07378098863063,0.0,0.4981841716545006,0.0,422.79950960231946,49.94,44.44,9.575596816976127,9.63026644958755
44.44,10.012685962119773,0.0,0.4636143440826413,0.0,423.0533502552571,47.26,44.44,9.549071618037136,9.57008779662379
45.0,9.760143416245299,0.0,0.23759699714715232,0.0,427.10563866633396,50.93,45.0,9.522546419098143,9.321333174607812
48.2,9.09333543480912,0.0,0.20739379024678328,0.0,427.4354812246731,52.38,48.2,8.885941644562333,8.664526746981792
47.82,8.259001967517202,0.0,0.6727950709654777,0.0,357.2622221618962,56.01,47.82,7.586206896551724,7.842707573611139
48.43,7.7227250230563955,0.0,0.18956852438265234,0.0,363.21564540302916,56.95,48.43,7.53315649867374,7.31447432818588
49.0,7.121792786129447,1.1540692828360741,0.0,0.0,405.5172413793105,55.39,49.0,8.275862068965518,6.722555564809352
49.0,6.1855994892916275,2.0106869828569103,0.0,0.0,401.6180371352783,54.9,49.0,8.196286472148541,5.8004043728888535
48.93,5.245368015818533,0.13924736879685096,0.0,0.0,263.46923076923076,53.86,48.93,5.384615384615384,4.874275573555461
48.93,4.756808962782764,0.0,0.6454031272389971,0.0,198.7314637121931,52.71,48.93,4.111405835543767,4.393044491681425
