Forward price,Forward bid,Power sold,Power bought,Objective values
28.32,7.1247074642042225,0.0,0.09552974537133174,199.06631299734747
10.07,9.189776494329585,0.0,0.1712088550722903,90.81697612732096
-4.08,7.113574749391063,0.10127936201477024,0.0,-29.436604774535798
-9.91,5.832013677311338,0.0,0.15562110436704124,-56.25305039787797
-7.41,5.669735465379113,0.0,0.15249408606876802,-40.88275862068966
-12.55,5.6682147810842665,0.0,0.15097340177392127,-69.24137931034484
-17.25,5.6695438708987265,0.0,0.15230249158838127,-95.17241379310344
-15.07,5.820773867366189,0.0,0.2504820901778597,-83.9442970822281
-4.93,9.766525444211451,0.021272964276612072,0.0,-48.253846153846155
-6.33,9.750481373625522,0.03731703486253895,0.0,-61.956763925729426
-4.93,9.7508246746046,0.0,0.467005045957384,-45.769230769230774
0.45,9.824368238394653,0.0,0.7792754001983674,4.070291777188328
0.12,9.83548502061551,0.0,1.1617449675651117,1.0408488063660477
-0.02,9.685972712372713,0.0,1.0387578582613077,-0.1729442970822281
0.0,9.669752208207612,0.0,1.553041332876047,0.0
-0.03,9.674787460802962,0.0,1.001047407752564,-0.2602122015915119
1.97,9.829175598851526,0.0,1.2350111426181036,16.93050397877984
54.28,9.839430332238422,0.0,3.2611809953683952,357.06737400530506
54.28,9.877594645625638,0.0,0.22242223183253526,524.0827586206897
51.0,9.783313432369617,0.0,0.02204022282054474,497.82493368700267
-6.98,9.871239250791804,0.0,0.10996604124273408,-68.13368700265251
-16.01,6.098840553342841,0.0,0.2632967867645917,-93.42705570291778
-4.87,9.857975842268592,0.0,0.14975303059750367,-47.2790450928382
43.0,6.1211605606142045,0.0,0.5508687834258756,239.52254641909818
-33.57,5.672450554545828,0.0,0.15520917523548317,-185.2137931034483
-45.92,5.701274468888085,0.0,0.18403308957774023,-253.3517241379311
-48.29,5.701740715104462,0.0,0.2375497336721007,-263.8657824933687
-33.6,5.6628668668767155,0.0,1.0474822514920996,-155.0769230769231
-33.54,5.586043958301172,0.0,0.6788821545876438,-164.58620689655172
-17.79,5.481370198432981,0.03587118087736396,0.0,-98.15172413793104
-0.01,9.474619904537883,0.10097691243824107,0.0,-0.09575596816976126
37.43,9.611558028580761,0.0,0.03596121160463461,358.4145888594164
45.44,9.400536681754918,0.17506013522120867,0.0,435.11511936339514
44.94,9.284156205399961,0.23839021369818347,0.0,427.9432360742706
44.99,9.362049148043582,0.05439647529859215,0.0,423.64588859416443
45.44,9.62962738218311,0.0,0.10708096308496451,432.3597085826861
44.44,9.762797765911161,0.0,0.18720094893503436,424.50991732727636
44.44,9.703308026602716,0.0,0.15423640856558052,423.92579603341534
45.0,9.457401099699373,0.06514531939877168,0.0,428.5145888594165
48.2,8.808113665846168,0.07782797871616509,0.0,428.30238726790446
47.82,7.995702520453086,0.0,0.40949562390135963,359.4186446333514
48.43,7.47351638771718,0.05964011095655852,0.0,364.83076923076914
49.0,6.888373796601827,1.3874882723636928,0.0,405.51724137931046
49.0,5.976779214327652,2.2195072578208874,0.0,401.6180371352784
48.93,5.061252559525917,0.32336282508946823,0.0,263.46923076923076
48.93,4.5855305186047435,0.0,0.4741246830609769,199.378896231186
48.43,4.608766320682513,0.0,0.7626124745286669,183.4780691124558
46.1,4.962366742251611,0.0,0.5591837183789323,200.38094127288466
51.98,4.829336727138187,0.9266314426230845,0.0,290.7906782795995
51.98,5.348417458506439,1.6277098624484667,0.0,351.61577947308433
51.98,5.513285475775114,0.26920789292515135,0.0,299.5860123380045
48.4,5.491066947569714,0.6893044052154336,0.0,299.12997347480115
48.79,5.475984470825408,0.0,0.33009587666095275,251.06790450928378
45.92,5.1398852279160625,0.0,0.15314782738555915,228.9909814323607
51.07,4.407150055729034,0.0,0.030492230795348282,223.51591511936337
51.0,4.0880664997260805,1.3495992827672887,0.0,277.3209549071618
51.0,4.031544943322691,0.2920624837330119,0.0,220.50397877984085
50.47,3.9469954424457767,0.0,0.5252447793158033,167.6744158779107
49.5,3.6475677686774945,0.0,0.623695089632402,144.2617872838265
51.0,3.077932760026415,0.0,0.37236246824922636,134.08544983806723
62.0,2.5946598624872266,0.0,0.31349275373391083,141.43236074270558
52.99,2.1194802333402096,0.2147372732910917,0.0,123.69018567639266
50.97,1.651641337568706,0.17859738922174495,0.0,93.28726790450928
50.47,1.2437333775333823,0.7456565428910225,0.0,100.4045092838197
50.6,0.8961892111828882,1.3319274996924415,0.0,112.74270557029169
51.48,0.6060890394548466,0.7732213053727397,0.0,71.00689655172414
65.67,0.425554695094281,1.325108434879194,0.0,114.96604774535811
61.51,0.3571445110270395,0.518187053959698,0.0,53.841644562334224
57.6,0.4282739071779742,0.3409568620527951,0.0,44.307692307692314
54.44,0.5824080579459252,0.2663983081018201,0.0,46.20901856763925
48.0,0.8722689537833122,0.0,0.6600673622713759,7.486000880883019
45.42,1.3830539393969972,0.0,0.2955207828983235,48.0481811981534
46.78,2.672566923780087,0.0,0.17919822351483505,116.08606528774764
47.97,3.608273548589012,0.8214346742226608,0.0,212.49310344827595
47.07,5.047045798645995,1.2394263498951181,0.0,295.9042440318302
48.29,7.229607863200627,1.656333781361706,0.0,426.86607141107675
48.43,8.671898206455444,0.0,0.42256133642891847,399.5153846153846
46.91,9.011288095855313,0.0,0.36407324174390593,405.6408488063661
52.5,9.145887741953919,0.11140668775430206,0.0,485.82636465864204
53.99,9.173471325679666,0.0,0.1814288853613619,485.48037135278526
54.44,8.808463653169797,0.0,0.5591267831432727,449.09389920424394
48.79,8.738574184150192,0.0943170625341594,0.0,430.9567639257295
