Forward price,Forward bid,Power sold,Power bought,hydrogen scheduled,lambda_DW,lambda_UP,E_real,E_forecast
25.12,0.0,4.429851421203061,0.0,3.7399098520064875,25.12,25.12,8.169761273209549,E_forecast[98]
24.12,0.0,3.109767940635228,0.0,3.8133089824416952,24.12,24.12,6.923076923076923,E_forecast[99]
22.04,0.0,3.2568222459485447,0.0,3.95803186545729,22.04,22.04,7.214854111405835,E_forecast[100]
18.37,0.0,2.945529407347898,0.0,4.216274306179953,18.37,18.37,7.161803713527851,E_forecast[101]
22.09,0.0,3.065933882296502,0.0,4.042819433353365,22.09,22.09,7.108753315649867,E_forecast[102]
23.35,0.0,2.9472999478201505,0.0,4.028827373134757,23.35,23.35,6.976127320954907,E_forecast[103]
45.6,3.9163888868897674,0.0,1.2425540240678385,2.922982113305393,48.22,45.6,5.596816976127322,E_forecast[104]
45.6,3.306932900157272,0.0,2.2792267825977004,3.004124121167219,49.99,45.6,4.031830238726791,E_forecast[105]
46.11,2.6201075920522996,0.0,3.436876673200617,3.071410990962641,50.73,46.11,2.2546419098143238,E_forecast[106]
46.11,2.5170857418342365,0.0,3.2414701937132775,3.0851271574493326,50.93,46.11,2.3607427055702916,E_forecast[107]
46.11,2.2333324297334745,0.0,3.472948930496515,3.1229056254314758,51.02,46.11,1.883289124668435,E_forecast[108]
51.36,1.8135248253836442,0.0,3.051751152696488,2.9358390594083343,51.36,51.36,1.6976127320954906,E_forecast[109]
47.12,1.4713506317198144,0.0,2.4996155495337655,3.1768060318723066,51.74,47.12,2.1485411140583555,E_forecast[110]
47.12,1.1499972420325926,0.0,2.2740970406733676,3.2195905148211463,51.92,47.12,2.0954907161803713,E_forecast[111]
47.12,0.9268493898905426,0.0,2.1602343380756954,3.2493000675485484,53.22,47.12,2.0159151193633953,E_forecast[112]
48.0,0.7848727195862204,0.0,2.340873070003335,3.227087883573613,55.26,48.0,1.6710875331564987,E_forecast[113]
50.0,0.6640464441742839,0.0,2.700806735679971,3.1508186469433532,55.87,50.0,1.1140583554376657,E_forecast[114]
