Forward price,Forward bid,Power sold,Power bought
28.32,5.014834438942102,2.014343279890789,0.0
10.07,6.468364895188297,2.550202744068998,0.0
-4.08,5.006998507161822,2.2078556042440125,0.0
-9.91,4.104952123901538,1.5714404490427585,0.0
-7.41,3.9907301197032843,1.526511259607061,0.0
-12.55,3.989659762778335,1.5275816165320104,0.0
-17.25,3.990595262994657,1.5266461163156881,0.0
-15.07,4.097040811572816,1.4732509656155126,0.0
-4.93,6.874318474478773,2.91347993400929,0.0
-6.33,6.863025609737397,2.9247727987506664,0.0
-4.93,6.863267247387988,2.4205523812592276,0.0
0.45,6.915032010827028,2.130060827369258,0.0
0.12,6.922856728208262,1.7508833248421363,0.0
-0.02,6.81762020078749,1.8295946533239151,0.0
0.0,6.806203150569943,1.3105077247616217,0.0
-0.03,6.809747290206666,1.8639927628437327,0.0
1.97,6.918415745092702,1.67574871114072,0.0
54.28,6.925633696202856,0.0,0.3473843593328292
54.28,6.95249623253496,2.702676181258143,0.0
51.0,6.886134956993894,2.8751382525551783,0.0
-6.98,6.948022890570266,2.813250318978806,0.0
-16.01,4.292762306127395,1.542781460450854,0.0
-4.87,6.938687237397958,2.7695355742731307,0.0
43.0,4.3084725849990875,1.2618191921892414,0.0
-33.57,3.9926411767854804,1.5246002025248648,0.0
-45.92,4.01292933023387,1.5043120490764745,0.0
-48.29,4.013257504772216,1.4509334766601447,0.0
-33.6,3.9858955514785332,0.6294890639060826,0.0
-33.54,3.931822571000398,0.97533923271313,0.0
-17.79,3.858146342400438,1.6590950369099073,0.0
-0.01,6.6688562908554205,2.906740526120706,0.0
37.43,6.765242286196924,2.810354530779203,0.0
45.44,6.61671168017121,2.958885136804917,0.0
44.94,6.53479549992415,2.987750919173993,0.0
44.99,6.589621640264972,2.8268239830772037,0.0
45.44,6.777960677399614,2.744585741698529,0.0
44.44,6.8716946910306085,2.7039021259455183,0.0
44.44,6.829821927138681,2.7192496908984545,0.0
45.0,6.656736571423372,2.865809847674771,0.0
48.2,6.1997256695135805,2.6862159750487526,0.0
47.82,5.627897645560786,1.958309250990938,0.0
48.43,5.260348940559394,2.272807558114345,0.0
49.0,4.848487368367133,3.427374700598385,0.0
